respondent_id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,data_source_note,median_house_value,rooms_per_household,bedrooms_per_room,population_per_household
100869,-114.84,35.85,51,3054,785.9846985045804,1565,531,3.0357000000000003,<1H OCEAN,legacy_import,95739.0,5.751412429378531,0.2573623767205568,2.9472693032015065
101799,-124.18,37.9,49,8406,1298.6378411923884,3627,1473,2.3854,INLAND,survey_2023,114815.0,5.706720977596741,0.15448939343235646,2.4623217922606924
101862,-122.53,36.05,52,348,60.55290170459434,329,86,3.7292,<1H OCEAN,survey_2023,226032.0,4.046511627906977,0.17400259110515615,3.8255813953488373
100415,-119.82,41.66,23,6229,1745.08348898993,2897,728,3.3661,INLAND,survey_2023,118758.0,8.55631868131868,0.28015467795632204,3.9793956043956045
101838,-115.02,41.37,28,1283,314.2721488498324,504,149,4.0125,<1H OCEAN,legacy_import,246547.0,8.610738255033556,0.2449510123537275,3.38255033557047
101683,-116.08,34.75,42,4958,1708.3412334338648,3733,1144,6.6792,<1H OCEAN,survey_2023,331593.0,4.333916083916084,0.3445625722940429,3.263111888111888
101271,-115.7,32.59,7,302,100.9372871105467,87,42,3.9542,<1H OCEAN,legacy_import,188657.0,7.190476190476191,0.3342294275183666,2.0714285714285716
101637,-122.78,32.88,7,631,172.7789769375537,392,153,0.638,<1H OCEAN,legacy_import,76136.0,4.124183006535947,0.2738177130547602,2.5620915032679736
100619,-116.82,35.48,29,8950,1015.5418559096522,3939,1060,4.5424,INLAND,legacy_import,199926.0,8.443396226415095,0.11346836378878795,3.7160377358490564
101876,-118.4,34.1,36,1262,1015.5418559096522,526,244,2.437,NEAR BAY,survey_2023,207240.0,5.172131147540983,0.8047082851898988,2.1557377049180326
100951,-117.65,39.12,40,3360,772.2494740725348,1603,466,4.2285,<1H OCEAN,legacy_import,242802.0,7.210300429184549,0.2298361529977782,3.439914163090129
100795,-115.58,38.14,27,5650,1865.1688477099349,3365,898,4.8444,<1H OCEAN,survey_2023,202019.0,6.291759465478842,0.3301183801256522,3.747216035634744
100452,-120.06,37.8,22,3138,1059.3838210777808,725,364,3.112,<1H OCEAN,legacy_import,182518.0,8.62087912087912,0.3375984133453731,1.9917582417582418
100895,-122.25,40.82,52,2471,828.6826421114143,1147,682,3.1852,<1H OCEAN,survey_2023,155252.0,3.62316715542522,0.3353632707856796,1.6818181818181819
101338,-123.58,38.17,16,1737,393.4109431358153,888,406,2.5659,<1H OCEAN,survey_2023,167144.0,4.278325123152709,0.22648874101083205,2.187192118226601
101114,-118.37,34.39,3,3667,827.6236022034543,4627,1193,10.2968,INLAND,survey_2023,478686.0,3.0737636211232187,0.2256950101454743,3.878457669740151
101853,-115.83,41.42,40,4100,620.0700197902581,1936,1200,1.1454,INLAND,survey_2023,42116.0,3.4166666666666665,0.15123659019274588,1.6133333333333333
101870,-116.12,36.25,40,5120,1106.6768830115484,3000,1207,5.1365,<1H OCEAN,survey_2023,244987.0,4.2419221209610605,0.21614782871319305,2.4855012427506216
101867,-122.65,38.92,15,1918,590.2728300909233,1062,442,4.3082,INLAND,legacy_import,191301.0,4.339366515837104,0.3077543431130987,2.4027149321266967
101037,-117.05,41.81,28,244,80.68805239119727,280,71,3.1687,NEAR BAY,legacy_import,192033.0,3.436619718309859,0.33068873930818554,3.943661971830986
101306,-117.16,36.04,21,726,174.40640546011798,494,143,4.5544,INLAND,survey_2023,194778.0,5.076923076923077,0.24022920862275204,3.4545454545454546
100241,-114.76,32.83,15,1618,380.5718265643758,500,189,1.7027,INLAND,survey_2023,87672.0,8.56084656084656,0.23521126487291458,2.6455026455026456
101018,-115.15,33.15,27,8899,1482.0960706699248,5471,1474,4.8136,INLAND,survey_2023,189083.0,6.037313432835821,0.16654636146420101,3.7116689280868385
101215,-122.09,33.62,50,5380,1633.9061155223492,3133,859,1.9556,INLAND,survey_2023,98541.0,6.263096623981374,0.3037000214725556,3.647264260768335
101913,-120.62,41.79,12,7065,1672.050766116742,2476,786,7.3178,NEAR OCEAN,survey_2023,344187.0,8.988549618320612,0.23666677510498824,3.150127226463104
100108,-122.01,35.13,2,1859,377.2648568329522,462,269,9.3845,<1H OCEAN,legacy_import,405756.0,6.910780669144981,0.2029396755422013,1.7174721189591078
100684,-115.01,35.7,27,5267,1144.970158708163,1193,606,5.1425,<1H OCEAN,survey_2023,258064.0,8.691419141914192,0.21738563863834495,1.9686468646864685
100037,-123.32,33.94,52,9575,1898.960480424966,2957,1385,2.7164,INLAND,survey_2023,107307.0,6.913357400722021,0.19832485435247685,2.1350180505415164
100855,-122.39,37.31,25,3392,953.484160604788,3048,933,4.1497,NEAR OCEAN,survey_2023,250130.0,3.635584137191854,0.2810979247066002,3.266881028938907
101911,-115.53,35.08,28,5577,1700.1671264669758,3113,1048,7.4121,NEAR BAY,legacy_import,323497.0,5.3215648854961835,0.3048533488375427,2.970419847328244
101260,-121.61,34.44,6,2867,568.211901248023,1247,339,3.8099,<1H OCEAN,legacy_import,207587.0,8.457227138643068,0.19819040852738856,3.678466076696165
100140,-114.68,40.28,33,3271,1004.5184956087744,1360,626,2.0477,<1H OCEAN,survey_2023,116501.0,5.225239616613418,0.30709828664285366,2.1725239616613417
101164,-122.69,33.03,39,940,1015.5418559096522,764,199,1.1947,INLAND,survey_2023,15000.0,4.723618090452261,1.08036367649963,3.8391959798994977
100058,-123.85,38.68,9,7263,2162.555386977145,4316,1297,6.9992,INLAND,survey_2023,246258.0,5.599845797995374,0.2977496058071245,3.327679259830378
101518,-121.87,33.17,3,1835,323.04170005663684,459,230,3.6669,NEAR OCEAN,survey_2023,224487.0,7.978260869565218,0.1760445231916277,1.9956521739130435
100204,-118.24,39.53,36,3235,729.1925237452115,2194,955,1.9296,<1H OCEAN,legacy_import,154899.0,3.387434554973822,0.22540727163685054,2.2973821989528798
101441,-123.36,37.51,22,9887,2054.406714683701,2561,1159,3.9476,<1H OCEAN,survey_2023,186519.0,8.530629853321829,0.20778868359297067,2.209663503019845
100830,-122.05,37.07,25,350,102.16696445036185,249,96,3.314,NEAR OCEAN,survey_2023,194803.0,3.6458333333333335,0.29190561271531956,2.59375
100426,-119.88,33.6,14,7163,2486.7126996938123,3286,1490,1.2174,NEAR OCEAN,legacy_import,84081.0,4.8073825503355705,0.3471607845447176,2.2053691275167786
101758,-123.2,36.58,42,7939,2255.941772708136,3725,1093,0.8967,<1H OCEAN,survey_2023,80615.0,7.263494967978042,0.2841594372979136,3.4080512351326626
101329,-119.32,38.88,7,3190,756.8002551557518,1849,576,5.7791,<1H OCEAN,survey_2023,258223.0,5.538194444444445,0.23724145929647392,3.2100694444444446
100779,-117.89,34.49,51,188,64.75823876299972,79,23,2.3971,NEAR OCEAN,survey_2023,144522.0,8.173913043478262,0.3444587168244666,3.4347826086956523
100572,-120.33,35.55,49,3835,705.3224626294872,2516,1260,4.5436,<1H OCEAN,legacy_import,220242.0,3.0436507936507935,0.18391720016414267,1.9968253968253968
101793,-117.5,39.52,8,2950,537.4211869678147,1656,435,1.9845,INLAND,legacy_import,140075.0,6.781609195402299,0.18217667354841177,3.806896551724138
100034,-114.64,38.28,19,6227,1422.8748767602026,2107,784,5.8758,<1H OCEAN,survey_2023,289232.0,7.942602040816326,0.22850086345916212,2.6875
100410,-121.11,39.04,11,1012,277.75177446953865,1143,295,5.8716,<1H OCEAN,survey_2023,254822.0,3.4305084745762713,0.2744582751675283,3.8745762711864407
100217,-116.84,35.17,3,8634,1613.1428208916527,2950,1434,1.9368,<1H OCEAN,survey_2023,155700.0,6.02092050209205,0.18683609229692527,2.0571827057182706
101120,-115.41,35.07,40,1265,421.2807327725116,714,221,9.3921,INLAND,survey_2023,350587.0,5.723981900452489,0.33302824725099733,3.230769230769231
101650,-123.94,39.81,17,704,116.87296370255984,446,151,4.5006,NEAR OCEAN,survey_2023,239005.0,4.662251655629139,0.16601273253204524,2.9536423841059603
100259,-123.33,36.63,35,5565,1155.9242687718893,2263,645,1.7202,INLAND,survey_2023,61332.0,8.627906976744185,0.20771325584400527,3.508527131782946
101195,-115.58,37.3,7,3140,786.3565150567276,2276,780,5.1573,NEAR OCEAN,legacy_import,240910.0,4.0256410256410255,0.25043201116456293,2.917948717948718
101246,-122.99,37.25,49,6541,1063.3712572968998,4549,1394,1.7986,NEAR OCEAN,legacy_import,141785.0,4.692252510760402,0.162570135651567,3.263271162123386
101206,-117.47,40.66,33,7435,1610.2735582798905,2866,830,5.777,<1H OCEAN,survey_2023,251356.0,8.957831325301205,0.216580169237376,3.4530120481927713
101106,-120.34,39.37,15,9012,2703.377321767363,1762,1040,1.2183,INLAND,survey_2023,35557.0,8.665384615384616,0.29997529091959196,1.6942307692307692
100007,-115.64,39.88,25,6659,1421.5848068834816,4426,1483,3.7446,NEAR OCEAN,legacy_import,207702.0,4.490222521915037,0.21348322674327702,2.9844908968307484
100328,-120.1,38.55,27,4263,1069.0063951421182,1656,785,3.4758,NEAR OCEAN,survey_2023,184607.0,5.430573248407644,0.25076387406570916,2.1095541401273885
100899,-123.44,32.86,9,5324,858.5162365998237,1863,666,4.5439,<1H OCEAN,survey_2023,256852.0,7.993993993993994,0.1612539888429421,2.7972972972972974
101084,-114.85,39.16,48,7401,2029.5532138846183,3007,832,4.9701,NEAR OCEAN,legacy_import,261835.0,8.895432692307692,0.2742268901343897,3.6141826923076925
101417,-123.08,38.72,33,7661,2394.9296474495354,2913,925,0.7408,NEAR OCEAN,survey_2023,93651.0,8.282162162162162,0.31261318985113373,3.149189189189189
100020,-118.18,41.65,23,1829,404.8568490242638,1000,474,2.0854,NEAR BAY,survey_2023,130331.0,3.8586497890295357,0.22135420941731207,2.109704641350211
100740,-119.67,35.97,19,5041,1653.7630533739166,3393,1181,1.3848,<1H OCEAN,survey_2023,164009.0,4.268416596104996,0.32806249818962835,2.8729889923793395
101804,-120.8,34.97,33,7078,1680.4286902348692,2574,1366,2.3356,INLAND,legacy_import,83617.0,5.181551976573939,0.23741575165793574,1.884333821376281
101831,-118.28,40.18,3,3505,1101.768870266499,1633,546,2.1016,<1H OCEAN,legacy_import,159931.0,6.41941391941392,0.3143420457251067,2.990842490842491
101880,-117.41,37.27,4,985,205.46874184073343,707,201,5.0654,<1H OCEAN,survey_2023,276835.0,4.900497512437811,0.20859770745252124,3.517412935323383
101789,-119.12,41.82,50,8019,1015.5418559096522,4948,1380,1.9734,NEAR BAY,survey_2023,147368.0,5.810869565217391,0.12664195734002398,3.5855072463768116
101210,-120.04,34.02,36,3123,796.0802234143815,847,366,8.6532,<1H OCEAN,survey_2023,394696.0,8.532786885245901,0.25490881313300723,2.314207650273224
100501,-118.94,39.76,39,4811,1576.2704841110988,3111,806,1.518,<1H OCEAN,legacy_import,106299.0,5.9689826302729525,0.3276388451696318,3.859801488833747
101808,-122.56,32.98,25,1947,517.0732309762236,889,259,1.6798,INLAND,survey_2023,67657.0,7.517374517374518,0.26557433537556424,3.4324324324324325
100953,-115.16,36.89,21,10613,2749.4412926022114,2624,1214,3.2891,INLAND,survey_2023,157186.0,8.742174629324547,0.2590635345898626,2.161449752883031
101323,-122.11,38.05,10,248,78.328110645191,101,59,1.2556,NEAR OCEAN,legacy_import,128061.0,4.203389830508475,0.3158391558273831,1.7118644067796611
101705,-123.24,40.91,10,5033,1206.4653180956066,1137,583,0.7331,NEAR OCEAN,survey_2023,56786.0,8.632933104631217,0.23971097120914098,1.9502572898799313
101297,-123.25,33.2,22,1541,454.80400074116136,541,240,0.5,NEAR BAY,survey_2023,84057.0,6.420833333333333,0.29513562669770366,2.254166666666667
101855,-121.78,33.23,32,4552,1011.1536623871892,1346,783,1.8698,NEAR OCEAN,survey_2023,147721.0,5.813537675606641,0.22213393286186056,1.719029374201788
100441,-114.43,37.65,25,7922,1207.2150424474069,5829,1485,1.8574,INLAND,survey_2023,77429.0,5.334680134680134,0.1523876599908365,3.9252525252525254
101921,-124.27,36.3,34,197,44.24350380152448,120,31,2.3137,<1H OCEAN,survey_2023,70696.0,6.354838709677419,0.22458631371332224,3.870967741935484
100172,-119.18,34.16,2,769,186.18927057530632,317,121,3.1711,INLAND,survey_2023,118634.0,6.355371900826446,0.24211868735410444,2.6198347107438016
101425,-114.65,38.39,41,3265,959.1388355188132,2506,674,1.86,<1H OCEAN,survey_2023,139029.0,4.844213649851632,0.2937638087347054,3.7181008902077153
100470,-124.18,34.66,17,1325,1015.5418559096522,525,181,1.6051,INLAND,survey_2023,134148.0,7.320441988950276,0.7664466837053979,2.9005524861878453
101508,-118.22,40.55,52,187,40.13548111411751,122,31,7.4137,<1H OCEAN,survey_2023,343309.0,6.032258064516129,0.2146282412519653,3.935483870967742
100185,-117.7,41.41,37,4588,1324.5203449483622,3400,872,1.8887,INLAND,survey_2023,96748.0,5.261467889908257,0.28869231581263344,3.8990825688073394
100237,-124.06,34.26,14,1950,471.8196651771958,1442,609,2.6633,<1H OCEAN,legacy_import,202455.0,3.2019704433497536,0.24195880265497222,2.367816091954023
101918,-120.38,38.88,5,3895,1214.833817031169,2740,1110,0.5,INLAND,survey_2023,21143.0,3.509009009009009,0.3118957168244336,2.4684684684684686
101384,-117.73,32.82,26,1838,337.16166479248693,870,399,4.7259,<1H OCEAN,survey_2023,212546.0,4.606516290726817,0.18343942589362727,2.180451127819549
100375,-121.11,35.12,38,12804,3167.5127982155773,2768,1486,1.3323,<1H OCEAN,legacy_import,88646.0,8.6164199192463,0.24738462966382202,1.8627187079407805
100596,-117.62,35.08,5,4590,1056.337488202174,2610,695,0.5,NEAR BAY,legacy_import,64470.0,6.60431654676259,0.23013888631855642,3.7553956834532376
100351,-115.74,41.18,13,4326,1061.5552073071854,1531,891,7.2998,INLAND,legacy_import,256219.0,4.8552188552188555,0.24538955323790693,1.718294051627385
101784,-117.71,40.11,37,10397,1943.4638136895733,5720,1452,4.4158,NEAR BAY,survey_2023,241326.0,7.160468319559229,0.18692544134746306,3.9393939393939394
101767,-119.54,36.62,25,1295,222.42812421266729,435,207,2.2632,NEAR BAY,survey_2023,168592.0,6.256038647342995,0.17175916927619095,2.101449275362319
100051,-116.55,37.1,22,1775,385.2400108726628,1526,569,2.3399,NEAR OCEAN,legacy_import,149655.0,3.1195079086115993,0.2170366258437537,2.6818980667838312
100036,-121.25,33.58,6,2473,789.7556496557465,2662,733,3.8192,<1H OCEAN,legacy_import,193627.0,3.373806275579809,0.3193512533990079,3.631650750341064
101638,-114.38,35.27,5,3087,823.8887535219279,1586,619,7.2988,INLAND,survey_2023,307569.0,4.987075928917609,0.26688978086230253,2.5621970920840065
101644,-123.41,39.73,37,6466,1727.7174338099398,4641,1271,4.2096,NEAR OCEAN,legacy_import,218981.0,5.087332808811959,0.26720034547014226,3.6514555468135326
100298,-118.07,33.53,46,2475,604.1017716360707,1322,643,3.0357000000000003,NEAR OCEAN,survey_2023,251214.0,3.849144634525661,0.24408152389336188,2.055987558320373
101960,-123.12,37.95,37,2505,598.0882080839438,2322,603,3.239,NEAR BAY,survey_2023,204758.0,4.154228855721393,0.23875776769818113,3.8507462686567164
100278,-117.28,38.52,45,12217,2203.1718716991386,3554,1492,5.2501,INLAND,survey_2023,208845.0,8.18833780160858,0.1803365696733354,2.3820375335120643
